,0,1,2,3,team
0,0.6447285953677083,-1.3266946205272403,-0.33481645034820107,-0.8591487234626591,Belgium Women's
1,1.5265010201589362,0.030418164489407134,-0.286612006354272,-0.25417670346421667,Denmark Women's
2,-2.070001698193698,0.569669646289705,0.5607797078329688,-0.11567811886118644,England Women's
3,-0.5741843770587319,-1.6050710082102224,0.5656740427650204,0.14191050088131052,France Women's
4,-0.3088604410560614,0.4136960729061105,-0.773098057768416,-0.5555638089753457,Germany Women's
5,1.7578809279802075,-1.3809923950756455,-0.40359633652799165,0.7655073580862558,Iceland Women's
6,0.42792914329393156,-0.36329964010721194,0.9991598988726422,0.11714304945952567,Italy Women's
7,-1.2676628320115038,0.7736798408334917,-1.072811591381572,0.5141654604982856,Netherlands Women's
8,-0.3213157402307486,0.8258529751175674,0.8189135623300516,0.17111710691574084,Norway Women's
9,1.3841147317865312,0.4855615046983103,-1.7082770871973594,0.13724869922644214,Poland Women's
10,0.32536763973434984,2.0265212346782056,0.7183481746391057,0.10357759258452273,Portugal Women's
11,-2.5678944419844547,0.0995219684718788,-0.25195896868950557,0.09418532345651356,Spain Women's
12,1.0874295895031174,-2.117199057104454,0.8653210872315911,0.0402430081927654,Sweden Women's
13,-0.746891512073319,0.10941515725629103,0.0989468442071962,-0.08295385240386892,Switzerland Women's
14,-1.4247975650313087,-0.9085520950251504,-0.3568896490148122,-0.08409018428109408,WNT Finland
15,2.1276569598150448,2.3674722513089566,0.5609168294035545,-0.13348670785299155,Wales W
